,,,accuracy,precision,recall,fscore
Korean-all,balanced,KNN 5,0.9610673916153957,0.954228593549186,0.9689014762061682,0.9614494235557238
Korean-all,balanced,KNN 7,0.9637573329517813,0.9473484026394399,0.9818667664597843,0.9642879132407913
Korean-all,balanced,KNN 9,0.9589927028187153,0.9430007061865495,0.9771751490279383,0.9597422706281196
Korean-all,balanced,MOST FREQUEST CLASS,0.49729575046501645,0.24870510802689944,0.5,0.3321795229526162
Korean-all,balanced,RANDOM CLASS,0.5018886822149092,0.503719023577603,0.49836178173785567,0.5009891427922788
Polish-all,no_balanced,LOGISTIC REGRESION,0.9683889030287605,0.7250166336872548,0.8312989273318679,0.7706087108086013
Polish-all,no_balanced,DECISION TREE,0.9676508017307203,0.7538332217758905,0.7345298160000484,0.7413035993001482
Polish-all,no_balanced,KNN 3,0.972741155510308,0.7508028321720304,0.8591705247585549,0.7970435025862125
Polish-all,no_balanced,KNN 5,0.9745482311020617,0.7639761142451275,0.8856567045459947,0.8169562455394189
Polish-all,no_balanced,KNN 7,0.9767370832272843,0.7953717301778068,0.8568183143819308,0.8222158228022056
Polish-all,no_balanced,KNN 9,0.9750063629422245,0.7604823486288783,0.8922657174539262,0.8197469631636473
Polish-all,no_balanced,MOST FREQUEST CLASS,0.9354288623059303,0.0,0.0,0.0
Polish-all,no_balanced,RANDOM CLASS,0.4994655128531432,0.0622353517735713,0.4984355050543515,0.11063877555134152
Polish-all,balanced,LOGISTIC REGRESION,0.9510054347826087,0.9403865051883257,0.9640606471907661,0.9518287975520012
Polish-all,balanced,DECISION TREE,0.9161277173913044,0.9829841107990994,0.8466165556678146,0.9089736096772532
Polish-all,balanced,KNN 3,0.9607744565217391,0.9731897247824222,0.947893557023163,0.9599379288396657
Polish-all,balanced,KNN 5,0.9751766304347825,0.9695342252849322,0.981366332863678,0.9753592530918371
Polish-all,balanced,KNN 7,0.9769701086956522,0.9644118139369153,0.9906864877715709,0.9773379204253336
Polish-all,balanced,KNN 9,0.9763315217391304,0.9635494842679526,0.990030034551071,0.9765485471227777
Polish-all,balanced,MOST FREQUEST CLASS,0.49591032608695657,0.2477445652173913,0.5,0.3313213279186762
Polish-all,balanced,RANDOM CLASS,0.5002173913043478,0.5006083007370161,0.5005562603298211,0.5005527158148816
Portuguese-all,no_balanced,LOGISTIC REGRESION,0.9735435493174389,0.7330861532464723,0.8078384591395935,0.746750610584323
Portuguese-all,no_balanced,DECISION TREE,0.96927513939627,0.7814702364983446,0.48701534289655674,0.582161281708005
Portuguese-all,no_balanced,KNN 3,0.9813112862910979,0.7659743047310559,0.8900139604457294,0.819699911797288
Portuguese-all,no_balanced,KNN 5,0.9786771774658719,0.7428986395363497,0.8894740408928772,0.805069059530498
Portuguese-all,no_balanced,KNN 7,0.98021534320323,0.7701817905630461,0.881257760615021,0.817615981846173
Portuguese-all,no_balanced,KNN 9,0.9808882907133242,0.7592719237756482,0.8865237563698761,0.8156431091604313
Portuguese-all,no_balanced,MOST FREQUEST CLASS,0.9536050759469331,0.0,0.0,0.0
Portuguese-all,no_balanced,RANDOM CLASS,0.49953855027879257,0.04817673451808831,0.5035506703104102,0.08793131168399894
